client_id	path	sentence
24f73	0019b7ce7f.mp3	আইন এবং রাজনীতির আবির্ভাব হলো
64092	0019cda4ca.mp3	খাড়া পাহাড়-প্রাচীরের তলার দিকে
60b9d	001aef3bb2.mp3	টিনের স্যুটকেস
f29bf	001b710504.mp3	ভারতের শতাধিক প্রেক্ষাগৃহে
b8bdd	001bdb23d2.mp3	মুজিবুর রহমানকেও
03284	001be0a9e1.mp3	আফগানিস্তান বা পাকিস্তানে কাজকে
91dff	001cebb990.mp3	দুটো আরামদায়ক শয়ন-কক্ষ
5a61c	001d1c3e9b.mp3	সেপ্টেম্বর ১৩, ১৯০৪
6a35e	001d61b062.mp3	মেনে নিলেন
903fa	001dd3979d.mp3	পরে দেখলাম
12702	001dd81463.mp3	মানুষকে উদ্ধার করতে পারে
e2ba2	001e458443.mp3	এতে হামিদুল
3fc9d	001f1ac9c6.mp3	জনসংখ্যা বৃদ্ধির হার
3ccf1	001f3a31d1.mp3	ভূমিকা ছিল
98b81	001f51dfd8.mp3	৫-৬জন যুবক
b2a62	001f8d0ee1.mp3	স্থগিত করেছেন
7c272	00200225f5.mp3	তাৎক্ষণিকভাবে এর কারণ জানা যায়নি
c3cca	00203b850e.mp3	তিনি অ্যাকোয়ারিস্ট নামে
b8bf0	0020b3d755.mp3	বাণিজ্যে ধর্ম ঢুকেছে
7d3e1	0020ce9acf.mp3	সে-ধরনের একটা কিছু
05901	002141b618.mp3	সহিংস বিক্ষোভের অনেক চিহ্ন
e2ff7	0021afb685.mp3	নতুন হাসপাতালটা
ee4ad	0022399e6d.mp3	চালানটি পাওয়া যায়
ad050	002261ad52.mp3	থানায় মামলা করেছিলেন
0c39f	0022ad589c.mp3	মোট দশটি খেলা খেলেছে বাংলাদেশ
75626	00232be503.mp3	শুরু হয় বিয়ে পড়ানো
92f59	0023d2aed8.mp3	দগ্ধ একজন যাত্রী
e2ff7	00243e8222.mp3	ছেলেটি আমাকে ছেড়ে চলে যায়
287bd	0024cedb4a.mp3	মিঠাইগুলো আঙিনায় পড়তে
28dfc	0024eee6dc.mp3	গতকাল সকালে ছিল মুষলধারে বৃষ্টি
25696	0025ef0740.mp3	মিছিলটি ঢাকা-গাজীপুর সড়কে পেীঁছলে
a1201	002619ac0d.mp3	বাস্তবায়ন করতেই
16cfb	002648db9d.mp3	সঙ্কীর্ণ পথে চলিতেছিল
d136b	0026972ff8.mp3	বাংলা মোটর থেকে মৎস্য ভবন পর্যন্ত
f658d	0026c78e27.mp3	জানতে চাইলেন
acb88	0026ceb885.mp3	সান্ধ্য কোর্স চালু করার
06e62	00275797b0.mp3	ভবানীপুর হাসপাতালে
d5f7b	00291bb8a0.mp3	তিনি যা করেছেন
c11b1	00293e356f.mp3	বাসটি কিছুদূর যাওয়ার পর
aa820	00297c46ca.mp3	প্রাচীন ইতিহাস
698ff	00299fec69.mp3	এক বছরে ২ হাজার কোটি টাকা
9642e	0029c08f39.mp3	আমরা ধীরে ধীরে সব খোয়াইলাম
8c07c	0029d50ffa.mp3	জেনারেটর সরবরাহ করেছে
ff1c3	0029f8d64a.mp3	প্রার্থীর নিরাপত্তা
05901	002a156bec.mp3	এই ভবনে ওয়ার্ল্ড সার্ভিস
d8c80	002a255b32.mp3	নইলে হয়ত
b8fe1	002a27ea9a.mp3	২০০৫ সাল থেকে তিনি
3c897	002ad7b2b0.mp3	বুধবার সন্ধ্যা ৬টায় শেষ হয়
ad050	002b3e4783.mp3	৬৪ জন জেলা শিক্ষা অফিসার
16e96	002b70b194.mp3	একটা নির্দলীয়
49543	002ba897d0.mp3	হয়ত অন্যরকম মাটি পাওয়া যায়
60b9d	002bb58eca.mp3	আজই কোন এক সময়
b8bf0	002c1fb537.mp3	গুরুত্বপূর্ণ ভূমিকা পালন করেন
d3e06	002c5a2ebc.mp3	আর কংগ্রেস এগিয়ে আছে
fb4cb	002c6d5cd7.mp3	এরশাদ শিকদার
e89bb	002c730f94.mp3	হাজার হাজার
ea5be	002c8e148e.mp3	১৮৭৫ থেকে ১৯০৪
75f18	002d3d9914.mp3	গৌরবের বীরের
06527	002d56ccd9.mp3	শিক্ষকরা প্রশাসনিক ভবনের সামনে
25117	002dc1b95b.mp3	আঁতকে উঠে পড়বে
698ff	002e0e1af2.mp3	প্রতিমাসে পাখি বিক্রি করে
29bab	002e9c68b7.mp3	ফর্মুলা আমরা শুধু
256f5	002f014586.mp3	সৌদি আরবের সোফা কারখানায়
8a46d	002f0fd1c3.mp3	আসাদুজ্জামান মজনু
1c618	002f303a0c.mp3	যারা স্পিকার, ডেপুটি স্পিকার
cb1aa	002f3d0839.mp3	সুতরাং কাব্যকারের ইহাতে
b52ab	002f992612.mp3	অথচ গল্পের কোথাও
22096	002fb5430c.mp3	কোথায় স্থাপনের উদ্যোগ গ্রহন করেছে
1cb75	0030199b99.mp3	ট্রেড ইউনিয়নকারী শ্রমিকদের
e9759	0030c16f72.mp3	বিভিন্ন দেশেও দেখা যাবে
47e8d	0030c51a3f.mp3	জ্যাক দ্য রিপার
4dd57	0030dff46c.mp3	মনে হলো
dae88	0031247402.mp3	আমরা এই অধ্যায়টির পাঠে
09b32	0031296899.mp3	মাতৃভাষা হিসেবে গ্রহণ করে
2ee04	003164d0a9.mp3	বহুল আলোচিত
f2097	003167e139.mp3	কবিওয়ালের নাম কি কি
16cfb	0032c25a68.mp3	সংস্কৃতি রক্ষার
948d3	003399c103.mp3	এ জন্য পত্রিকায়
f2097	0033d7656c.mp3	জন্মগ্রহণকারী সাবেক ক্রিকেটার
28bb3	00344a3c92.mp3	থার্ড গ্রেডের নায়িকা
16cfb	0034722580.mp3	১ম খণ্ড
acb88	00350b1301.mp3	অং সান ১৯৩৩ সালে
16877	0035a53492.mp3	হাজার হাজার অভিযুক্ত করা হয়েছে
8c120	0035e21fc8.mp3	চলে যেতে বাধ্য আমি
b2a62	0035e6a686.mp3	অবরোধ মানে না
d2294	0035e6e6f1.mp3	সবচেয়ে বেশি প্রশংসা কুড়িয়েছেন
6ab59	0035eee977.mp3	সারবত্তা খুঁজতে
b9b98	003659c03d.mp3	হাত-মুখ ধুয়ে দেন
6973e	0036ad72d8.mp3	ফেলানীর পরিবারের
0f047	0036f446bf.mp3	অবসর সময়কালের
b78ec	0037646137.mp3	সোবে সাদেকের শামস
b5fdc	003787a2a2.mp3	এবং অন্যদিকে শ্রম ও পুঁজির মধ্যে
c0d65	0037b82a4a.mp3	গত বছরের
aa820	00385db080.mp3	হেফাজতের রক্তচক্ষুকে
2ad74	00386d9456.mp3	আমার নাম হয় না কেন
68ab7	0038b1048c.mp3	সার্কাস-তাঁবুর গান বইটিতে
a699c	0038fa4c34.mp3	রান্না শিক্ষা
577fa	003979d55f.mp3	ওর ধপধপাইয়া হাঁটাটি
2ee04	003a223cd5.mp3	আইন ব্যবসা
18460	003a969127.mp3	হওয়ার কথা রয়েছে
ba2f6	003a9bcfeb.mp3	চুলের যত্ন
c3cca	003bc7696a.mp3	মি: খান
f4ba7	003c2a04e3.mp3	স্বাধীনতা সংগ্রামে
db735	003c8b650c.mp3	কুরু নামে একজন
80be1	003d78fa0e.mp3	তাদের দুজনারই মনে হল
7027a	003d938253.mp3	বাজারে ক্রেতাও কম
e9589	003d99c15d.mp3	তার সঙ্গে আমার গল্প
c9c19	003e0d29ec.mp3	যখন সোলস গঠিত হয়
93bf3	003e1c4dc0.mp3	মেঘ হইয়া যান
54e68	003e75772d.mp3	নহিলে পরকালের কাজ হয় না
4164f	003e7765bc.mp3	একসাথে মিলে কাজ করে
52f27	003e8b3d2d.mp3	আনা হচ্ছে
7aed9	003ee67280.mp3	ভেনেজুয়েলার পর্তুগুয়েসা রাজ্যের
49d63	003ef05d88.mp3	ফলে কুকুরের দাঁতে
0a87a	003f18a569.mp3	কোন শিশুই হাত তোলেনি
06527	0040616d81.mp3	এবং দেমোফোনের ভাই
c5dc8	00409f26d8.mp3	দেশের সবচেয়ে সুন্দরী মেয়েকে
4a67e	0040b6d83d.mp3	গ্রীষ্মকাল
c0d65	0040c85c2b.mp3	চিহ্নিতকরণের পাশাপাশি
acb88	0040d873c0.mp3	অমিতাভ বচ্চনের জন্ম
32c77	0041455bc9.mp3	আগে বলল না কেন
404ee	0042bbac9a.mp3	এক প্রজন্ম ধরে
2ee04	0042d77b69.mp3	প্রক্রিয়া এবং এর উদ্দেশ্য নিয়ে
3fae0	0042e18d8e.mp3	আন্ন্যালাচা এলাকায় এ ঘটনা ঘটে
e03fc	0043074fc7.mp3	হিন্দু কনের পোশাকে
79b06	004371f1d0.mp3	অ্যাপলের ওয়েবসাইট হেলথবুক নামে
f1ff2	004385c7db.mp3	ভেবে ঠিক পায় না
23291	0043d64997.mp3	হাত বেঁধে রাখে
e6e48	0043de8e52.mp3	১৯৯৯ সালে রাজধানীর অদূরে গাজীপুরের কালিয়াকৈরে প্রথম হাইটেক পার্ক স্থাপনের উদ্যোগ নেওয়া হয়।
dafb6	004417224f.mp3	দাঁতের ওপর বেশি
2ee04	00441e3049.mp3	রজব আলীর ছেলে
71522	0046449994.mp3	ফল জানা যাবে
ea8fa	0046b6d8de.mp3	নানা রকম লোক
b4ea7	0046ea6074.mp3	ক্রীতদাসী হিসেবে
85430	00470f7ed5.mp3	থাকতে দেখা গেছে
1a2a1	004777aade.mp3	যায়যায় দিন পত্রিকার
577fa	00478c9532.mp3	আলটিমেটাম দিয়েছেন কৃষকরা
3fce2	0047959919.mp3	তফসিল ঘোষণা করে নির্বাচন কমিশন
db181	004795a99a.mp3	কোন তাড়না থেকে
f1ff2	004806eefb.mp3	গ্রাহক চাহিদা বিবেচনায় নিয়ে
cc9fd	0048b29e83.mp3	প্রেসিডিয়ামে ঠাঁই দিয়েছিলেন
e3f89	0049304cfe.mp3	এই দর্শকদের মধ্যে
4c1eb	004968f941.mp3	জাতীয় স্বাস্থ্য নীতি প্রণয়ন করেছে
7d004	0049d136f9.mp3	সেটি একটি বড় কারণ
68549	004a2234f5.mp3	ভালো বন্ধুও হয়ে উঠতে পারে
06527	004a64d0e4.mp3	প্রশংসা করেছেন জন কেরি
33aef	004a6fa698.mp3	আমাদের সেনা ও সেপাইরা
cfc65	004b54f15a.mp3	মো. জহুরুল হক তাদের
ff0fe	004b80d29b.mp3	সংস্কার বাস্তবায়ন কোনো মতেই
f89d7	004ba71ab0.mp3	৮ রাকাত
c4973	004c00db94.mp3	হবে না
fda1a	004c48fbd2.mp3	যথাযথ দায়িত্ব পালন করার
121bd	004c5d3b74.mp3	ইরোটিক ছবি
ad050	004c68e2c6.mp3	একধরনের ড্রামাটিক সাসপেন্স
88654	004c6a7fc9.mp3	খবর বলা হয়েছে
b8ed8	004cf7fba6.mp3	ভিড়ের মধ্যে
ce629	004d0d2f48.mp3	আরও সময় প্রয়োজন বলে
e2c11	004d5ff34b.mp3	ভোট হবে ২৪ ফেব্রুয়ারি
5e80b	004e15eccd.mp3	হয়ে পড়েছিলেন অন্তরীণ
3fce2	004f197f13.mp3	ইহার রচনাপ্রণালী আজিকালিকার
2c9c5	004f599cf2.mp3	একজন মহিলার বক্তব্য
ee852	004fe19036.mp3	বিচার স্বচ্ছতার সাথেই হয়েছে
09f0d	004fe9890b.mp3	একটি হাড় থেকে
fdcba	00510dc784.mp3	লক্ষ্যভেদ করেন তিনি
32998	00514b8748.mp3	বিকাল ৩টা ৪৫মিনিটে
f1240	0051c4fa19.mp3	বাড়ি থেকে বেরোতে গেলে
903fa	0053ecc424.mp3	ছোট গাড়ি
c1e30	0053f36685.mp3	অত্যন্ত মর্মান্তিক ঘটনা
c463d	00540ef022.mp3	বর্ষবরণের পান্তা ইলিশ দিয়ে
a8710	0054aa9ad4.mp3	যদি আপনি আপনার সম্পর্কে
29bab	0054f9f0b9.mp3	ফেডারেশন
d2294	0055a3fae2.mp3	পজিশন
d136b	0055b26204.mp3	গাছের পাতা
b8bba	0055e57735.mp3	অজুহাত বলে মন্তব্য করেছেন
932bb	0056a3d9a0.mp3	শক্ত হয়ে পড়েছে
b8bdd	0056ccda00.mp3	দেশীয় ফোক গানের মাধ্যমেই
c958a	0056dd2a01.mp3	গান গেয়েছিলাম
745b7	0057005cce.mp3	সরকার বাড়িটিকে ইজারা দিয়েছে
410fa	005754d451.mp3	হঠাৎ ছাতিপট্টিতে ঢুকে
82926	0057ed9147.mp3	এর ফল শুভ হয় নয়
84145	0057f6e266.mp3	এজন্য এটি সরকারের জন্য
f280a	005803342a.mp3	কোনও না কোনও জোটে
16a17	0058c0437a.mp3	নাম অনুসারে
c41d8	00596b098a.mp3	ডিস্ট্রিক জাজ ছিল
32c77	0059a0f316.mp3	তাঁকে দেওয়া হয়
f2097	0059a12d9b.mp3	কোন ব্যবস্থা নয় বলেই
e89bb	0059ac7231.mp3	কিছু ভাবা হবেনা
8143b	0059d5ecb7.mp3	ইতোমধ্যে ১৯৪৭ এসে পড়ায়
d5213	005a38ea54.mp3	অভিভাবকরা আতংকিত হয়ে পড়েন
bbb22	005a4dd9d2.mp3	আল-কায়েদাকে নিয়ে
1c618	005a8a692c.mp3	প্রতিষ্ঠানটি সরবরাহ করছে
7027a	005acaa918.mp3	শব্দ যাওয়ার উপায় নেই
14816	005ada9bf5.mp3	নির্বাচন কমিশন নির্বাচনের তফসিল ঘোষণা করবেন।
db735	005bc2187f.mp3	আইন শাখার
d711f	005c112064.mp3	এই দুইভাবে পাওয়া যায়
9813c	005c5c78d3.mp3	এখন খোঁপায় ফুল
0744c	005ccbf1bd.mp3	বুড়িমারী ট্রেন
d7a68	005cd09a17.mp3	লিখে দিলেন
4fd66	005dbcdcff.mp3	চুল আলতোভাবে ঘষে ঘষে
3ccf1	005e392d83.mp3	হোটেল লবিতে মাত্র
f2097	005ebfe1cb.mp3	শক্তিশালী এই ব্যাকআপ জেনারেটর
79b06	005f1df75f.mp3	নিরাপত্তা ঝুঁকিতে থাকা
9282d	005f57a51b.mp3	ব্যবহার করতে হলো
68549	005f9953d3.mp3	এটা হচ্ছে গোয়েন্দা পুলিশ বাহিনী
3f875	005fe05689.mp3	এখানে যে জায়গার কথা বলিতেছি
2aecc	006060d75f.mp3	এ ছাড়াও ডজনেরও বেশি
8b859	0060e58fd0.mp3	ফলে এ ধরনের ছেলেদেরকে
ab946	006133c285.mp3	নিজেও খুব হাসতেন
cf82a	006153d160.mp3	এলাকার উন্নয়নে
b5fdc	006196512c.mp3	জনসংখ্যা হল ৫৭৬৮২ জন
3fae0	00619d4527.mp3	দেবদাস
3c897	0061a1f4a6.mp3	ভূষিত করেন
ff1eb	0062454b68.mp3	উচ্চারিত করতাম না
b00ba	00624d6b66.mp3	বেশি জাহাজ
68ab7	0062e23c28.mp3	অনুষ্ঠানে তিনি বলেন
dae88	0062e8be16.mp3	নিশ্চিতের পাশাপাশি
3ccf1	0063306c9b.mp3	এরপরই রয়েছে
c2082	0063437eff.mp3	তুলনামূলক অল্প পরিশ্রম করে
75626	00638d09d0.mp3	পর্দার আড়ালের কুশীলব
b7be9	00653066b4.mp3	বিভিন্ন ধরনের চুলের জন্য
7df87	00654dda9d.mp3	আমদানিও কমেছে
72649	0065adf655.mp3	বিশ্ববিদ্যালয়ে এ মহাসঙ্কট
9813c	0066088df7.mp3	তসলিমা নাসরিনের লজ্জা বই
c7705	00662048f9.mp3	তাঁদের কান্নার শব্দ
c6848	006695662f.mp3	তবু আমি তো
0d8c1	0066a7a5bf.mp3	সংবিধান পরিবর্তন করতে হলে
8edea	006729f9fe.mp3	সীমান্ত রক্ষী বাহিনীর মধ্যে
bf530	00674b228d.mp3	রিজিয়া পারভীন
976b1	00680d0b43.mp3	পাইকারি হারে
194f5	006811ea42.mp3	শুভ বিবাহ
d2d71	00681f8705.mp3	যা ইচ্ছে খাবে, ফুঁকবে
91dff	006828b08d.mp3	আলকাউসার
95907	006843004c.mp3	তৃণমূল ঘনিষ্ঠ এই চিত্রশিল্পী
4f2ae	0068949d31.mp3	নন্দিতা দাস
4ea73	00693224a4.mp3	বার্সেলোনায় অনুষ্ঠিত
a9a58	00693c01b5.mp3	কয়েক মুহুর্তের জন্য
91230	00695ade49.mp3	রোগবালাই না থাকায়
903fa	0069f0703d.mp3	সংকটের দিকে ঠেলে দিচ্ছে
bd576	006aab000c.mp3	নওমহলের দশটি
7d004	006ade289b.mp3	পর্যটকের ভিড়
e3d8b	006b7ec7b3.mp3	সিলেটে আমিও যাব বলে
b9122	006b890b53.mp3	খেলাফত
ff1c3	006baf1a1a.mp3	পুরুষের ওপর
66c6b	006bc72b1c.mp3	নির্বাচিত সরকারের মেয়াদ শেষে
c5479	006c2d9c0c.mp3	বিশ্ববিদ্যালয় কর্তৃপক্ষ সিদ্ধান্ত
47e8d	006c5dcf50.mp3	যার নাম
2c9c5	006c80a14c.mp3	আদায় করতে পারেনি তারা
98b81	006ca909d4.mp3	উপর থাকিবার ব্যবস্থা করিয়া দিল
9b864	006ccbff50.mp3	ইসি কোনো ব্যবস্থা
92bd8	006d3d6de0.mp3	মুনি ভ্রান্ত হয়
69449	006d547d0e.mp3	বাংলার মুসলমান সম্প্রদায়ের
28bb3	006d726452.mp3	সমাঝোতার কথা বলে
16877	006d9915ad.mp3	বিধর্মীর ঘরে
1279e	006dd2a62c.mp3	ছটু মণ্ডল, সুলতান
321b6	006eb8eea7.mp3	এর কিছুদিন পরই
f0f95	006ecb9f46.mp3	যদি প্রিয়জনের লাশটা
2ad74	006eeba0d7.mp3	সবচেয়ে খ্যাতিমান হয়েছিলেন
c958a	006f9e4ec7.mp3	কেউ দিতে পারছে না
239f7	006fa1a68b.mp3	এইচ এস সি
91223	006fc329ab.mp3	তারা দলীয়ভাবে
29d44	007023e27b.mp3	পাঁচটি উইকেট নিয়ে
d9081	0070603393.mp3	আদিবাসী
c6848	0070a6f686.mp3	কেনিয়া হিন্দু
2aecc	0070b801ae.mp3	মৃতের অতীত জীবন
18460	0070c4476c.mp3	সমুদ্রে ভাসতে ভাসতে
2909b	0071323370.mp3	অধিষ্ঠিত আছেন
58998	00719b0a48.mp3	নির্বাচিত হয়েছেন মোস্তফা কামাল
4dd57	0071b27dd7.mp3	হরতাল কর্মসূচির সাথে রয়েছে
1e7c6	0071f5c46e.mp3	স্পিকার মীরা কুমার
bfac7	0072149629.mp3	তারা বিক্ষোভ করেন
e03fc	007263c3fb.mp3	তার বাজনাটা
65e30	00727ebc8f.mp3	স্বর্ণপদক প্রদান করা হয়
e31e7	00728f32ca.mp3	তাই সময় নষ্ট না করে
1f733	00729b647b.mp3	হিন্দি গান
8143b	0072a6b23e.mp3	লয়েড ম্যাথিউসের নেতৃত্বে
491a5	0072b55adb.mp3	আমাকে ঘিরিয়া ধরিল
7ee9b	007350beda.mp3	তিনি সন্তুষ্ট নন
06ea3	0073b8f839.mp3	কালের কন্ঠ সংবাদ
a1d4a	0073ce2ecf.mp3	শিক্ষার্থীদের হল নির্মাণ
08458	0073d6fbe7.mp3	এমন কোনও প্রমাণ নেই
a3a6d	0074030db5.mp3	প্রেমের উক্তি
10a9f	0074595cf9.mp3	বা আমিনুল হত্যাকাণ্ডের প্রেক্ষিতে
ad050	0074b694e2.mp3	তিন বছর মেয়াদে
e6e48	0074cc4bab.mp3	শুধু তাই নয় অনলাইনে ভোটাররা জাতীয় পরিচয়পত্রটি স্মার্ট কার্ড নবায়ন করতেও পারবেন।
f2780	00750889ed.mp3	গেরিলাযুদ্ধ অনেক সময়ই
25117	00751f475c.mp3	সুনন্দার প্রশংসা করছে
698a4	007583919f.mp3	বাবা জ্যোর্তিময় গুহঠাকুরতা
7b900	0075a2953e.mp3	সন্তুষ্ট হতে পারেননি
f2097	0075ad2474.mp3	বিআইডব্লিউটিএর চেয়ারম্যানের কাছে
7a227	0075c16f74.mp3	মেমোরি
7c272	0075d2e8f6.mp3	একটা না-ঘুম না
ff0fe	0075dfc1db.mp3	মোহাম্মদ নাসিম সভাপতিত্ব করেন
420df	0075dfe22b.mp3	পরবর্তী কালে দক্ষিণ আফ্রিকায়
9e923	0075eff2b1.mp3	লড়াই করছে ভারতের জনগণও
aabe7	0075fcf43c.mp3	৭/৮টি মামলা রয়েছে
4ea73	0076949cc3.mp3	২০০২ সালে তা এসে
8cf95	0077098396.mp3	ছেলে আইজ রাইত এখানেই থাকবে
f83df	00771a5e10.mp3	মাত্র চার ঘণ্টা সূর্যের আলো
943de	0077a85cde.mp3	তার সঠিক কোনো দিক নির্দেশনা
0a87a	0077d47efb.mp3	তার ফাইনালেও
bcaa8	0077dacfb1.mp3	১০ম দুবাই আন্তর্জাতিক
5b13f	00784f6152.mp3	জেমস চকোলেট ১ প্যাকেট
717bb	00785d5fb1.mp3	সেখানে গেলাম
44322	00787fa6cb.mp3	মর্মস্পর্শীভাবে ফুটিয়ে তোলা হয়েছে
b8bdd	0078ef951d.mp3	সমান সুযোগ রাখা হয়েছে
616ec	0078f15681.mp3	স্বরাষ্ট্রমন্ত্রী গতকাল সাংবাদিকদের জানান
420df	0078f52952.mp3	তবে রাত ৮টার দিকে
388c9	00795f0014.mp3	আকরাম আহমেদ
42898	0079835645.mp3	এদিকে বিদ্যুৎ বিভাগকে
bf530	0079a6ed9c.mp3	শতাব্দীর একজন
4c555	0079d20c6c.mp3	মুরগির খামার
ff1eb	0079f1fa5b.mp3	প্রধানমন্ত্রী হলেন সরকারপ্রধান
39dd0	007a4f0f7e.mp3	তারা যেন একটু হলেও
f29bf	007b7e8078.mp3	শ্রীলঙ্কা সিরিজে
282d3	007c5d1b3e.mp3	পল্লী সঞ্চয় ব্যাংক
bd576	007c6dcfc3.mp3	বধ্যভূমি থাকার বিষয়টি নিশ্চিত করে
f658d	007c7c7f60.mp3	শনাক্ত করতে পারবেন
66dcd	007c7decde.mp3	চলচ্চিত্র জগতকে বিদায় জানান তিনি
cf82a	007cb9f152.mp3	এমন প্রেক্ষাপটে বিশ্বব্যাংক বলছে
d1a48	007cd93701.mp3	স্পন্দিত হইতে লাগিল
9c8dd	007d582429.mp3	পাহারারা পাথরের মূর্তি
